device_id,customer_id,device_type,brand,model,serial_number,purchase_date,warranty_expiry,device_status
DEV00273,CUST01074,4G Dongle,Airtel,A266,SN77226299,2024-11-03,2027-06-28,In Stock
DEV00274,CUST01357,5G Router,Jio,X520,SN82351090,2022-02-27,2028-06-03,Faulty
DEV00275,CUST01946,Set Top Box,TP-Link,R339,SN37176855,2025-01-01,2026-08-21,Under Repair
DEV00276,CUST01960,Fiber ONT,Jio,A476,SN48178092,2022-01-08,2027-06-01,Under Repair
DEV00277,CUST03610,Set Top Box,TP-Link,R614,SN77918966,2024-08-19,2028-09-01,Under Repair
DEV00278,CUST03430,WiFi Modem,D-Link,A993,SN03737672,2025-05-07,2027-09-14,Faulty
DEV00279,CUST00428,5G Router,Jio,N667,SN41122157,2025-07-04,2029-02-06,In Use
DEV00280,CUST04227,Router,TP-Link,X881,SN09456736,2024-08-07,2028-12-20,In Stock
DEV00281,CUST02235,Set Top Box,Huawei,R193,SN39251853,2025-05-31,2028-02-01,In Stock
DEV00282,CUST03696,Fiber ONT,Cisco,R154,SN34704812,2022-10-11,2026-09-27,Returned
DEV00283,CUST04113,Fiber ONT,D-Link,R183,SN06045200,2024-01-31,2026-10-20,Faulty
DEV00284,CUST01840,Router,Netgear,X959,SN46399479,2025-06-08,2028-03-02,Faulty
DEV00285,CUST01197,WiFi Modem,Cisco,N949,SN99583236,2025-05-25,2027-02-28,Returned
DEV00286,CUST01137,5G Router,Jio,R730,SN28646148,2022-10-06,2027-03-24,In Use
DEV00287,CUST00650,Router,TP-Link,A955,SN93132909,2025-11-03,2027-10-04,In Stock
DEV00288,CUST04496,5G Router,Airtel,X894,SN12876879,2025-09-08,2026-10-21,Faulty
DEV00289,CUST01947,Fiber ONT,Nokia,X344,SN07880276,2021-11-19,2027-10-05,Returned
DEV00290,CUST03745,Router,Nokia,R711,SN31195674,2022-12-17,2027-08-28,Under Repair
DEV00291,CUST00135,5G Router,D-Link,A398,SN26860720,2024-03-08,2027-09-23,Returned
DEV00292,CUST00013,4G Dongle,Netgear,A684,SN85421084,2024-03-26,2027-07-06,Returned
DEV00293,CUST01535,5G Router,Nokia,N169,SN52224261,2025-07-09,2028-10-15,Under Repair
DEV00294,CUST04458,4G Dongle,Cisco,R994,SN41978811,2025-07-15,2029-05-27,Returned
DEV00295,CUST00357,5G Router,Airtel,N359,SN80940498,2023-10-25,2027-05-19,In Use
DEV00296,CUST02926,Router,Netgear,A850,SN44034688,2024-06-06,2027-08-27,In Use
DEV00297,CUST04767,5G Router,Netgear,A145,SN66898784,2022-12-27,2028-05-17,Faulty
DEV00298,CUST04473,Fiber ONT,Huawei,R812,SN00368765,2024-02-29,2027-09-27,Returned
DEV00299,CUST01494,WiFi Modem,Nokia,R137,SN34188437,2025-07-19,2028-04-22,Faulty
DEV00300,CUST01652,Router,D-Link,X423,SN29900450,2023-05-23,2027-06-04,Faulty
DEV00301,CUST04223,Set Top Box,Jio,N137,SN41279393,2023-01-21,2027-10-30,In Stock
DEV00302,CUST02344,Fiber ONT,Cisco,N379,SN25306556,2021-09-28,2026-12-09,In Use
DEV00303,CUST03015,Set Top Box,Airtel,R495,SN76685167,2021-11-23,2027-03-01,Faulty
DEV00304,CUST01531,Set Top Box,Jio,N916,SN12927661,2025-02-14,2027-02-12,Under Repair
DEV00305,CUST02185,Router,Airtel,X540,SN72156928,2021-11-07,2027-06-01,Under Repair
DEV00306,CUST01479,4G Dongle,TP-Link,N205,SN10058537,2023-03-12,2026-11-02,In Use
DEV00307,CUST02687,5G Router,TP-Link,N556,SN56725789,2023-04-23,2027-10-16,Under Repair
DEV00308,CUST03491,WiFi Modem,Jio,N557,SN12960530,2023-06-11,2028-04-21,In Use
DEV00309,CUST02889,4G Dongle,Airtel,N754,SN31590346,2025-06-20,2027-03-01,In Use
DEV00310,CUST00615,5G Router,Airtel,N625,SN19733810,2026-01-30,2029-06-06,In Stock
DEV00311,CUST00256,WiFi Modem,Jio,X229,SN71154662,2021-09-15,2026-08-14,In Use
DEV00312,CUST01934,5G Router,Netgear,N492,SN46455363,2025-09-27,2028-04-07,Under Repair
DEV00313,CUST00266,4G Dongle,Huawei,R479,SN93258956,2023-03-17,2028-03-30,Faulty
DEV00314,CUST03637,Router,Huawei,N507,SN24710742,2023-01-27,2026-09-19,Faulty
DEV00315,CUST02284,WiFi Modem,Nokia,X853,SN68929880,2021-10-09,2026-07-30,In Stock
DEV00316,CUST04089,4G Dongle,Airtel,X368,SN81776490,2025-04-19,2026-07-04,Faulty
DEV00317,CUST03656,WiFi Modem,TP-Link,R304,SN06485689,2024-07-08,2028-02-06,In Use
DEV00318,CUST01112,Router,Jio,A830,SN76724164,2025-07-27,2029-01-16,Returned
DEV00319,CUST00720,5G Router,Netgear,N826,SN73853726,2025-01-21,2029-02-02,In Use
DEV00320,CUST04506,4G Dongle,TP-Link,N971,SN87084789,2021-08-25,2027-07-02,In Stock
DEV00321,CUST01427,Fiber ONT,D-Link,X305,SN83958663,2025-12-23,2028-04-27,In Stock
DEV00322,CUST01940,Set Top Box,Cisco,N667,SN90655198,2023-09-12,2028-07-29,Under Repair
DEV00323,CUST03023,Set Top Box,Huawei,X167,SN09414094,2023-05-11,2026-10-12,Faulty
DEV00324,CUST03262,5G Router,Jio,R887,SN55226773,2021-08-10,2027-10-22,Returned
DEV00325,CUST04710,Router,Huawei,N757,SN14204893,2022-02-28,2029-02-07,In Use
DEV00326,CUST03687,Set Top Box,Netgear,A999,SN03011445,2024-07-21,2028-02-26,Under Repair
DEV00327,CUST04816,WiFi Modem,Huawei,R614,SN68123154,2021-09-21,2027-02-12,In Use
DEV00328,CUST01018,4G Dongle,Huawei,N268,SN92903226,2024-03-10,2027-05-02,In Stock
DEV00329,CUST02644,5G Router,D-Link,N631,SN77537392,2025-11-01,2026-10-17,Faulty
DEV00330,CUST00647,Fiber ONT,D-Link,N228,SN87714931,2022-04-22,2027-05-12,Faulty
DEV00331,CUST04371,Router,Huawei,A275,SN80534567,2025-09-08,2028-05-17,Under Repair
DEV00332,CUST04958,Fiber ONT,Cisco,X183,SN38047013,2023-09-10,2029-06-13,In Use
DEV00333,CUST04725,Fiber ONT,D-Link,R732,SN12505295,2023-11-12,2028-06-24,In Use
DEV00334,CUST04080,5G Router,TP-Link,N594,SN55319002,2024-03-24,2026-12-04,In Stock
DEV00335,CUST03327,Fiber ONT,Jio,X805,SN53172019,2023-05-30,2028-09-16,In Use
DEV00336,CUST01295,Set Top Box,Airtel,R575,SN36800485,2023-11-06,2029-01-29,In Stock
DEV00337,CUST02787,4G Dongle,Huawei,N982,SN95899255,2024-07-12,2026-09-02,Faulty
DEV00338,CUST02830,Set Top Box,Huawei,N627,SN38057476,2022-07-03,2028-06-25,Under Repair
DEV00339,CUST00870,Fiber ONT,D-Link,R225,SN06056437,2023-12-18,2029-02-19,Faulty
DEV00340,CUST03684,WiFi Modem,Huawei,X151,SN84276324,2021-12-10,2027-04-18,Faulty
DEV00341,CUST03147,4G Dongle,Airtel,A986,SN17344776,2021-07-07,2026-08-12,In Stock
DEV00342,CUST02683,4G Dongle,Netgear,A881,SN92994245,2021-08-03,2026-07-09,In Stock
DEV00343,CUST04082,4G Dongle,Jio,R415,SN33061695,2022-08-02,2028-05-28,Returned
DEV00344,CUST00190,Router,Airtel,R346,SN31308956,2024-09-03,2028-02-28,In Stock
DEV00345,CUST04779,Fiber ONT,Cisco,X388,SN39093567,2023-03-08,2029-06-11,Returned
DEV00346,CUST04895,5G Router,Jio,N649,SN26092579,2025-07-22,2027-11-16,In Use
DEV00347,CUST00881,Set Top Box,Huawei,N844,SN43373128,2022-08-01,2027-11-12,Faulty
DEV00348,CUST03304,Fiber ONT,Cisco,R152,SN57459565,2024-10-30,2028-02-04,Under Repair
DEV00349,CUST04603,WiFi Modem,Netgear,N175,SN30819024,2022-04-28,2028-10-26,Returned
DEV00350,CUST04131,Set Top Box,TP-Link,X231,SN50953951,2022-11-15,2027-10-09,In Use
DEV00351,CUST03227,Fiber ONT,Netgear,N873,SN20101648,2025-03-27,2029-02-03,In Stock
DEV00352,CUST01631,4G Dongle,Airtel,X146,SN48821277,2021-09-12,2028-04-16,In Use
DEV00353,CUST01123,5G Router,Netgear,R631,SN98869925,2025-11-15,2028-12-29,Returned
DEV00354,CUST01221,4G Dongle,Huawei,N727,SN92086117,2026-01-09,2027-01-27,Faulty
DEV00355,CUST01332,Set Top Box,TP-Link,N619,SN78094532,2025-03-16,2026-12-02,Under Repair
DEV00356,CUST04361,Set Top Box,TP-Link,R935,SN46409436,2024-12-20,2029-01-12,In Use
DEV00357,CUST03018,Fiber ONT,Nokia,R697,SN36514779,2023-05-09,2028-02-11,Faulty
DEV00358,CUST00219,4G Dongle,Jio,N771,SN10295275,2022-02-26,2027-05-07,Under Repair
DEV00359,CUST04732,WiFi Modem,Cisco,R274,SN97202426,2021-08-11,2027-05-02,Under Repair
DEV00360,CUST03115,WiFi Modem,D-Link,X686,SN95271054,2024-03-12,2029-01-26,In Use
DEV00361,CUST01563,Router,Jio,N528,SN71709007,2025-11-13,2027-07-04,In Stock
DEV00362,CUST03383,5G Router,D-Link,R613,SN90145701,2026-01-04,2027-11-15,Under Repair
DEV00363,CUST03864,5G Router,Cisco,A631,SN78769764,2025-08-04,2027-08-12,In Stock
DEV00364,CUST04595,Fiber ONT,Jio,R421,SN89779999,2022-07-15,2028-12-14,In Stock
DEV00365,CUST03766,4G Dongle,Netgear,N792,SN49387058,2025-11-24,2029-01-28,Faulty
DEV00366,CUST04998,Set Top Box,D-Link,A385,SN46058160,2025-04-29,2029-04-24,Under Repair
DEV00367,CUST02446,WiFi Modem,TP-Link,N821,SN83525446,2023-04-27,2027-03-14,In Stock
DEV00368,CUST04006,Fiber ONT,Jio,N673,SN57261344,2023-02-27,2028-07-24,Faulty
DEV00369,CUST02358,Router,Airtel,R938,SN66208703,2024-06-13,2029-03-31,Faulty
DEV00370,CUST01200,Fiber ONT,Cisco,N831,SN97637932,2025-02-02,2027-03-17,In Use
DEV00371,CUST02838,Set Top Box,TP-Link,R319,SN84049502,2022-09-19,2027-10-22,In Stock
DEV00372,CUST04413,Fiber ONT,TP-Link,A211,SN64792613,2025-09-05,2029-03-06,Under Repair
DEV00373,CUST04808,WiFi Modem,D-Link,X785,SN35900366,2024-02-01,2028-05-29,Under Repair
DEV00374,CUST01849,5G Router,D-Link,X202,SN96249624,2022-04-20,2029-05-15,Returned
DEV00375,CUST02706,5G Router,Jio,X797,SN23729894,2022-11-20,2026-07-21,In Stock
DEV00376,CUST00043,4G Dongle,Huawei,R768,SN19099254,2022-07-04,2027-08-04,Returned
DEV00377,CUST03912,5G Router,D-Link,N428,SN69806003,2026-03-19,2027-07-25,Faulty
DEV00378,CUST00485,Router,D-Link,X279,SN51995476,2026-04-19,2027-05-01,Returned
DEV00379,CUST01441,Router,Airtel,R290,SN18892379,2025-11-05,2028-03-10,Faulty
DEV00380,CUST00307,Router,TP-Link,X443,SN72317471,2025-06-27,2027-10-21,Faulty
DEV00381,CUST03723,5G Router,Jio,A971,SN52606188,2021-07-12,2029-04-20,Under Repair
DEV00382,CUST03835,Fiber ONT,D-Link,X438,SN81870406,2024-01-11,2026-10-31,In Stock
DEV00383,CUST03760,5G Router,TP-Link,A114,SN65831490,2023-03-20,2028-10-10,Faulty
DEV00384,CUST02417,4G Dongle,D-Link,A725,SN88858665,2026-02-28,2028-06-25,Returned
DEV00385,CUST03504,4G Dongle,Netgear,X510,SN81647316,2021-11-23,2027-01-21,In Use
DEV00386,CUST01514,WiFi Modem,Jio,N354,SN56708743,2022-06-13,2027-08-01,In Use
DEV00387,CUST02137,Set Top Box,D-Link,R871,SN86351290,2026-01-24,2029-06-06,Faulty
DEV00388,CUST02701,Fiber ONT,Cisco,N769,SN99796433,2022-12-31,2026-08-06,Faulty
DEV00389,CUST01936,Router,Nokia,R414,SN85353357,2021-11-01,2026-10-13,In Stock
DEV00390,CUST03322,5G Router,TP-Link,X754,SN90149130,2025-12-21,2027-08-05,Faulty
DEV00391,CUST03011,4G Dongle,D-Link,A236,SN22344162,2026-04-12,2026-07-16,Returned
DEV00392,CUST01255,Set Top Box,Netgear,R818,SN34843522,2022-03-07,2028-01-06,Under Repair
DEV00393,CUST03858,4G Dongle,D-Link,A796,SN38477174,2025-12-20,2027-03-19,Under Repair
DEV00394,CUST00671,4G Dongle,Jio,N179,SN96770489,2024-02-28,2026-07-06,Under Repair
DEV00395,CUST00920,Router,D-Link,A268,SN59427106,2025-10-04,2027-01-16,Faulty
DEV00396,CUST04263,Set Top Box,Nokia,A834,SN89622557,2023-12-10,2028-08-09,Under Repair
DEV00397,CUST04005,Router,Jio,X564,SN87084237,2024-10-10,2027-01-29,In Stock
DEV00398,CUST04205,Set Top Box,Jio,X672,SN70974520,2024-05-06,2028-01-01,Returned
DEV00399,CUST02525,5G Router,Cisco,R360,SN00783006,2024-10-17,2028-12-21,In Use
DEV00400,CUST01786,4G Dongle,Nokia,X533,SN65711438,2022-08-23,2028-10-05,Faulty
DEV00401,CUST00523,4G Dongle,Cisco,X583,SN83318320,2021-08-26,2029-02-17,In Use
DEV00402,CUST02352,Set Top Box,Huawei,A884,SN44899034,2026-03-17,2026-12-11,Returned
DEV00403,CUST03068,Set Top Box,Jio,R484,SN18218855,2024-01-20,2026-09-11,In Use
DEV00404,CUST04418,WiFi Modem,Netgear,X282,SN98447208,2022-10-15,2027-04-01,Under Repair
DEV00405,CUST03220,4G Dongle,Huawei,A954,SN62628578,2024-10-21,2027-09-01,In Use
DEV00406,CUST00187,Fiber ONT,Jio,R644,SN01753705,2024-11-16,2027-10-31,Returned
DEV00407,CUST01882,WiFi Modem,Jio,N258,SN09831015,2025-07-11,2029-04-12,Faulty
DEV00408,CUST01545,5G Router,Nokia,X928,SN81830248,2021-10-02,2027-06-14,Returned
DEV00409,CUST00129,WiFi Modem,D-Link,X203,SN67627652,2025-07-08,2028-02-18,Under Repair
DEV00410,CUST00276,Set Top Box,Cisco,A858,SN00216784,2024-12-13,2029-06-23,In Use
DEV00411,CUST03296,Set Top Box,D-Link,A872,SN76042821,2025-08-30,2028-02-27,In Use
DEV00412,CUST01148,4G Dongle,TP-Link,A935,SN79770970,2025-11-01,2027-12-05,Under Repair
DEV00413,CUST02613,4G Dongle,Netgear,A409,SN11496787,2023-03-27,2027-10-17,In Stock
DEV00414,CUST04271,WiFi Modem,Airtel,N381,SN36195739,2023-04-24,2029-04-27,In Use
DEV00415,CUST04561,4G Dongle,Huawei,R669,SN12971942,2025-09-17,2028-11-05,Returned
DEV00416,CUST00385,Fiber ONT,Airtel,N813,SN30350288,2022-07-25,2027-03-14,Returned
DEV00417,CUST03345,WiFi Modem,TP-Link,R288,SN65999873,2025-05-11,2027-08-29,Under Repair
DEV00418,CUST03880,WiFi Modem,D-Link,N978,SN32960880,2024-01-18,2026-07-25,In Stock
DEV00419,CUST03794,Router,Airtel,R670,SN11650177,2024-09-16,2028-06-09,Under Repair
DEV00420,CUST01099,Set Top Box,D-Link,N308,SN65293171,2026-02-03,2026-12-27,Faulty
DEV00421,CUST00648,Set Top Box,Netgear,X648,SN54737885,2021-12-30,2028-08-03,In Stock
DEV00422,CUST00423,Fiber ONT,Airtel,X994,SN85587696,2024-08-20,2026-11-28,In Use
DEV00423,CUST01542,4G Dongle,D-Link,R313,SN91819793,2022-09-01,2029-02-09,Faulty
DEV00424,CUST02484,Router,D-Link,A859,SN71401704,2024-12-07,2029-02-01,In Use
DEV00425,CUST03924,WiFi Modem,D-Link,R345,SN41783111,2025-02-20,2029-01-28,Under Repair
DEV00426,CUST02635,Fiber ONT,Airtel,R646,SN82221889,2025-07-20,2026-09-08,Faulty
DEV00427,CUST02527,Fiber ONT,Netgear,R577,SN66195301,2023-05-05,2028-03-04,In Use
DEV00428,CUST03847,Fiber ONT,D-Link,N420,SN96129385,2021-09-02,2027-06-21,Returned
DEV00429,CUST00375,4G Dongle,D-Link,A116,SN31061040,2025-04-17,2029-06-26,Faulty
DEV00430,CUST04533,4G Dongle,Airtel,N256,SN91944735,2023-04-04,2028-06-14,In Stock
DEV00431,CUST02703,WiFi Modem,Airtel,A611,SN22428759,2023-08-25,2027-04-21,Under Repair
DEV00432,CUST02766,Fiber ONT,Jio,R571,SN76101826,2021-08-15,2027-07-06,In Stock
DEV00433,CUST02886,WiFi Modem,Huawei,R288,SN39660721,2023-07-16,2028-02-08,Under Repair
DEV00434,CUST00482,4G Dongle,Cisco,X937,SN68553094,2025-08-20,2027-05-09,In Use
DEV00435,CUST00053,Set Top Box,Huawei,A169,SN08110584,2024-06-16,2029-05-14,In Stock
DEV00436,CUST00075,WiFi Modem,Jio,N161,SN40782571,2026-01-21,2027-03-19,Under Repair
DEV00437,CUST03959,5G Router,Jio,X106,SN52367477,2022-11-06,2029-03-05,Under Repair
DEV00438,CUST04520,Set Top Box,Cisco,X642,SN68756985,2022-11-26,2027-03-17,Faulty
DEV00439,CUST04389,Fiber ONT,Cisco,R925,SN07359923,2025-05-30,2028-09-25,In Stock
DEV00440,CUST00877,Router,Huawei,A296,SN95577356,2022-03-11,2028-06-17,Under Repair
DEV00441,CUST04313,Fiber ONT,Netgear,N914,SN12098072,2025-04-27,2027-10-03,Returned
DEV00442,CUST00648,Fiber ONT,Airtel,R678,SN94906154,2022-07-10,2027-11-19,In Stock
DEV00443,CUST01851,Fiber ONT,Nokia,X195,SN25980308,2023-07-03,2027-09-30,Returned
DEV00444,CUST03107,Set Top Box,Jio,X752,SN67309641,2022-11-24,2026-12-21,In Use
DEV00445,CUST01404,Router,Jio,R760,SN70195684,2022-05-14,2029-02-10,Faulty
DEV00446,CUST04636,Router,Cisco,A316,SN23301451,2023-06-27,2026-09-11,Under Repair
DEV00447,CUST03896,Fiber ONT,Cisco,X800,SN46390285,2026-06-14,2027-03-29,Faulty
DEV00448,CUST04449,4G Dongle,Cisco,A970,SN18958897,2025-11-18,2029-05-19,Faulty
DEV00449,CUST00129,WiFi Modem,Huawei,R178,SN22746696,2023-05-16,2028-10-03,Faulty
DEV00450,CUST01331,4G Dongle,D-Link,R793,SN88543149,2024-08-27,2028-08-06,Under Repair
DEV00451,CUST02718,Set Top Box,Huawei,X612,SN72921487,2023-08-07,2027-01-19,Faulty
DEV00452,CUST00440,Router,Airtel,A958,SN03403757,2021-12-26,2028-07-03,In Use
DEV00453,CUST02791,4G Dongle,Airtel,N130,SN66207495,2021-12-24,2028-05-11,Faulty
DEV00454,CUST03691,Set Top Box,D-Link,N666,SN53047568,2024-08-04,2028-04-22,Returned
DEV00455,CUST03538,WiFi Modem,Airtel,X890,SN25506639,2024-08-07,2028-11-14,Under Repair
DEV00456,CUST02420,WiFi Modem,Nokia,X374,SN69618755,2022-11-14,2027-10-18,In Stock
DEV00457,CUST03113,5G Router,Huawei,R424,SN42803572,2024-01-21,2027-04-16,Faulty
DEV00458,CUST00873,Router,Cisco,N555,SN02352151,2023-04-05,2028-09-27,Faulty
DEV00459,CUST02210,Router,Huawei,X291,SN31371979,2025-11-10,2027-05-03,Returned
DEV00460,CUST03677,4G Dongle,Airtel,X126,SN33804931,2022-08-19,2029-06-12,In Use
DEV00461,CUST02900,4G Dongle,Nokia,N984,SN90649481,2024-08-20,2029-06-26,Returned
DEV00462,CUST00102,Fiber ONT,Airtel,R897,SN38333181,2024-05-20,2028-05-01,In Use
DEV00463,CUST04584,WiFi Modem,Huawei,R273,SN58739705,2022-07-04,2026-07-05,In Stock
DEV00464,CUST02203,Fiber ONT,TP-Link,R249,SN47424957,2022-09-16,2029-06-15,In Use
DEV00465,CUST01370,Set Top Box,TP-Link,R406,SN82231996,2026-05-08,2027-06-17,Returned
DEV00466,CUST00631,Fiber ONT,TP-Link,A838,SN72009259,2026-03-17,2028-07-09,Returned
DEV00467,CUST04865,4G Dongle,D-Link,R209,SN13475684,2024-03-27,2026-07-15,In Stock
DEV00468,CUST02496,Router,Airtel,N961,SN98336184,2024-02-25,2029-03-02,Under Repair
DEV00469,CUST03113,Fiber ONT,Jio,N540,SN73999075,2022-03-06,2027-07-09,Under Repair
DEV00470,CUST01116,Fiber ONT,Netgear,A590,SN52326663,2025-05-20,2028-01-10,Faulty
DEV00471,CUST01456,Set Top Box,Netgear,N852,SN36401204,2023-08-23,2028-09-07,Returned
DEV00472,CUST04718,WiFi Modem,Netgear,R387,SN81799474,2024-11-21,2027-12-09,Returned
DEV00473,CUST02991,Router,D-Link,A798,SN06870394,2022-02-20,2028-11-30,Under Repair
DEV00474,CUST00221,5G Router,Jio,A548,SN86360891,2022-08-25,2028-12-20,Faulty
DEV00475,CUST00567,Set Top Box,Jio,A748,SN49026424,2022-05-07,2028-11-03,Faulty
DEV00476,CUST01983,Fiber ONT,Huawei,R908,SN49864783,2025-03-28,2029-04-01,Returned
DEV00477,CUST00606,Set Top Box,Jio,R647,SN20513808,2022-09-21,2027-09-22,Under Repair
DEV00478,CUST03427,4G Dongle,Cisco,N818,SN43960599,2024-06-06,2027-12-18,Under Repair
DEV00479,CUST04865,5G Router,Nokia,X887,SN44178169,2022-12-14,2028-01-29,In Stock
DEV00480,CUST02909,WiFi Modem,Cisco,R870,SN22412676,2021-12-07,2028-04-19,Faulty
DEV00481,CUST03527,Router,Cisco,X364,SN82062446,2022-11-25,2027-12-06,In Stock
DEV00482,CUST04184,5G Router,D-Link,R483,SN31152147,2024-01-27,2027-05-17,Returned
DEV00483,CUST03794,5G Router,Huawei,N125,SN13818607,2022-09-14,2028-08-20,Returned
DEV00484,CUST00857,Fiber ONT,Airtel,X218,SN93909990,2022-03-06,2027-09-09,In Stock
DEV00485,CUST02854,Fiber ONT,Netgear,R903,SN28817881,2021-10-23,2029-04-05,In Stock
DEV00486,CUST04269,Set Top Box,Netgear,R199,SN03725724,2026-06-17,2028-02-19,Returned
DEV00487,CUST03707,Fiber ONT,Nokia,N145,SN66618343,2025-07-17,2028-04-11,In Use
DEV00488,CUST00186,Fiber ONT,Nokia,A858,SN10652319,2022-11-13,2026-12-23,In Stock
DEV00489,CUST04228,WiFi Modem,Huawei,N673,SN74930082,2025-07-23,2027-09-25,Returned
DEV00490,CUST03786,WiFi Modem,Airtel,A290,SN70345881,2021-11-04,2027-03-23,Returned
DEV00491,CUST03241,Router,D-Link,R706,SN31550891,2024-02-23,2026-07-02,Returned
DEV00492,CUST03186,Router,D-Link,A385,SN08960334,2025-05-08,2028-02-27,In Use
DEV00493,CUST04730,Router,Huawei,N433,SN12603336,2024-09-11,2028-08-23,In Stock
DEV00494,CUST03749,Router,TP-Link,R640,SN30639484,2025-09-14,2027-09-08,Faulty
DEV00495,CUST04891,Set Top Box,Airtel,X456,SN20980474,2024-10-04,2029-05-01,Faulty
DEV00496,CUST03751,4G Dongle,Huawei,N729,SN15991148,2021-12-17,2029-04-21,Under Repair
DEV00497,CUST00695,5G Router,Huawei,N220,SN56614412,2023-03-28,2028-02-12,In Stock
DEV00498,CUST02502,Router,Huawei,N810,SN90285407,2025-12-31,2029-03-17,In Stock
DEV00499,CUST04185,Set Top Box,Airtel,A688,SN38881189,2025-04-29,2027-12-25,Returned
DEV00500,CUST03466,WiFi Modem,Jio,A668,SN99662095,2021-07-16,2028-10-29,In Stock
DEV00501,CUST04012,Fiber ONT,Huawei,A422,SN41499703,2023-09-21,2027-11-09,Returned
DEV00502,CUST00440,Fiber ONT,Cisco,R239,SN07567957,2024-06-27,2028-02-15,In Stock
DEV00503,CUST03146,4G Dongle,Jio,R801,SN15477629,2024-10-29,2027-08-10,Returned
DEV00504,CUST03405,5G Router,Jio,R271,SN89854633,2025-02-13,2028-10-28,In Use
DEV00505,CUST04632,Router,D-Link,N133,SN21290675,2021-11-18,2027-11-11,Faulty
DEV00506,CUST01842,4G Dongle,TP-Link,A899,SN89980683,2025-01-20,2028-08-05,Returned
DEV00507,CUST04634,5G Router,Jio,X686,SN74175734,2026-03-30,2029-03-21,In Use
DEV00508,CUST02195,4G Dongle,Netgear,X878,SN04476326,2026-05-23,2028-02-11,Returned
DEV00509,CUST04476,WiFi Modem,Airtel,X853,SN68702146,2024-11-01,2028-05-24,In Stock
DEV00510,CUST02439,Router,Jio,N456,SN25763200,2021-12-01,2027-08-22,In Use
DEV00511,CUST03597,Router,D-Link,A930,SN52336743,2024-09-12,2026-11-04,Under Repair
DEV00512,CUST02873,5G Router,Airtel,A730,SN69218472,2023-04-21,2027-11-21,In Stock
DEV00513,CUST01693,WiFi Modem,Cisco,N645,SN11578957,2025-07-20,2026-12-17,Faulty
DEV00514,CUST04890,4G Dongle,Huawei,N820,SN60538092,2023-03-08,2029-04-30,Faulty
DEV00515,CUST02371,4G Dongle,TP-Link,X238,SN64476556,2021-11-01,2026-08-08,Returned
DEV00516,CUST00486,Fiber ONT,Huawei,A355,SN72998175,2025-01-21,2028-10-17,In Stock
DEV00517,CUST02639,WiFi Modem,Airtel,R245,SN29898691,2024-12-02,2026-11-15,Under Repair
DEV00518,CUST02202,5G Router,Airtel,R562,SN79964187,2022-05-21,2027-10-16,In Use
DEV00519,CUST00763,Set Top Box,TP-Link,N565,SN93823330,2023-08-08,2027-12-28,Returned
DEV00520,CUST02682,4G Dongle,Cisco,X848,SN23931991,2025-07-12,2027-12-13,Returned
DEV00521,CUST02935,Router,Airtel,A539,SN95726238,2025-06-24,2028-08-25,In Stock
DEV00522,CUST04053,Fiber ONT,Netgear,N445,SN69834445,2025-10-15,2028-06-27,Under Repair
DEV00523,CUST04735,WiFi Modem,Jio,N798,SN27395246,2024-07-08,2027-07-26,In Use
DEV00524,CUST00377,Router,Jio,X227,SN57248898,2025-06-02,2027-01-25,In Stock
DEV00525,CUST03616,Set Top Box,Cisco,R307,SN14939066,2021-10-06,2027-07-10,In Stock
DEV00526,CUST02473,WiFi Modem,TP-Link,X770,SN53077686,2026-05-31,2028-12-24,Faulty
DEV00527,CUST02052,Router,Netgear,A153,SN76193162,2021-10-13,2027-06-15,Returned
DEV00528,CUST02503,5G Router,D-Link,R771,SN71170755,2026-04-28,2029-01-05,In Use
DEV00529,CUST00780,Router,D-Link,R179,SN91520319,2022-10-02,2028-07-14,In Stock
DEV00530,CUST04864,WiFi Modem,Jio,X108,SN75261960,2024-05-22,2026-09-26,Faulty
DEV00531,CUST00988,Set Top Box,Huawei,R172,SN29755582,2024-04-20,2027-09-24,In Stock
DEV00532,CUST03139,Router,Nokia,X420,SN20607026,2025-04-19,2029-01-06,Faulty
DEV00533,CUST02452,WiFi Modem,Airtel,A756,SN73166586,2025-01-16,2027-05-14,In Stock
DEV00534,CUST00561,4G Dongle,Cisco,A550,SN13342221,2023-06-22,2027-01-22,Faulty
DEV00535,CUST01746,5G Router,Huawei,R730,SN61623389,2021-11-04,2027-05-14,Returned
DEV00536,CUST01780,Router,Nokia,A870,SN96708406,2021-12-07,2029-01-27,In Use
DEV00537,CUST04830,5G Router,Airtel,N539,SN33166766,2024-06-15,2027-05-26,Faulty
DEV00538,CUST01146,WiFi Modem,TP-Link,X354,SN12883580,2021-11-20,2027-05-05,Under Repair
DEV00539,CUST04924,4G Dongle,TP-Link,X968,SN26544071,2023-06-25,2029-05-24,Faulty
DEV00540,CUST01684,4G Dongle,D-Link,R402,SN48755523,2025-07-28,2027-11-29,In Use
DEV00541,CUST01961,Set Top Box,Airtel,X346,SN78924089,2024-12-17,2027-08-24,Returned
DEV00542,CUST04866,Router,Cisco,N424,SN07101493,2023-07-21,2026-11-18,In Stock
DEV00543,CUST03169,4G Dongle,Airtel,N659,SN28568842,2025-03-16,2027-08-14,In Stock
DEV00544,CUST03859,Router,Cisco,X114,SN62809528,2025-10-03,2026-07-21,Faulty
DEV00545,CUST01768,Router,Cisco,R618,SN98111873,2022-05-24,2029-06-23,Faulty
